date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-07,09:01:00,"Diego Costa ??

#UEL",Tournament window,,euro2024_domain,diego costa uel,Diego Costa ?? #UEL
2024-07-07,11:00:00,"Edin Deko beats the angle ????

#UEL",Tournament window,,euro2024_domain,edin eko beats angle uel,Edin Deko beats the angle ???? #UEL
2024-07-07,11:02:00,Dominican Republic will host a FIFA tournament for the first time when the FIFA U-17 Womens World Cup takes place in October! ??????,Tournament window,,euro2024_domain,dominican republic will host fifa tournament first time when fifa women world cup takes place october,Dominican Republic will host a FIFA tournament for the first time when the FIFA U-17 Womens World Cup takes place in October! ??????
2024-07-07,11:02:00,"The @Olympic Football Tournaments get underway in July ??

16 mens teams and 12 womens teams  including four @FIFAWWC champions  will be competing ??",Tournament window,,euro2024_domain,football tournaments get underway july men teams women teams including four champions will competing,The @user Football Tournaments get underway in July ?? 16 mens teams and 12 womens teams including four @user champions will be competing ??
2024-07-07,11:02:00,"The FIFA Futsal World Cup will become the first FIFA tournament to be hosted in Central Asia, as Uzbekistan prepare to welcome 24 nations in September ????",Tournament window,,euro2024_domain,fifa futsal world cup will become first fifa tournament hosted central asia uzbekistan prepare welcome nations september,"The FIFA Futsal World Cup will become the first FIFA tournament to be hosted in Central Asia, as Uzbekistan prepare to welcome 24 nations in September ????"
2024-07-07,11:02:00,"The FIFA U-20 Womens World Cup starts in August! ??

The 11th edition will be held in Colombia and feature 24 teams  up from 16 at previous editions.",Tournament window,,euro2024_domain,fifa women world cup starts august edition will held colombia feature teams previous editions,The FIFA U-20 Womens World Cup starts in August! ?? The 11th edition will be held in Colombia and feature 24 teams up from 16 at previous editions.
2024-07-07,11:02:00,"The year will end with the inaugural FIFA Intercontinental Cup, with the final taking place on 18 December ??",Tournament window,,euro2024_domain,year will end inaugural fifa intercontinental cup final taking place december,"The year will end with the inaugural FIFA Intercontinental Cup, with the final taking place on 18 December ??"
2024-07-07,11:02:00,"What else is coming up for FIFA in 2024? ?????

Key events this year, a thread ??",Tournament window,,euro2024_domain,else coming fifa key events year thread,"What else is coming up for FIFA in 2024? ????? Key events this year, a thread ??"
2024-07-07,13:00:00,"Khazri smash ??

#UEL",Tournament window,,euro2024_domain,khazri smash uel,Khazri smash ?? #UEL
2024-07-07,13:27:00,"If you placed every bet tipped in our horse racing group this week with ONLY A £3 STAKE 

You returned £105.60 profit ???

Doing the same for the whole of 2024 would have returned you £2,346.50 profit ???

sublaunch.com/lordracingtips",Tournament window,,euro2024_domain,placed every bet tipped horse racing group week only stake returned profit doing same whole would returned profit sublaunch com lordracingtips,"If you placed every bet tipped in our horse racing group this week with ONLY A 3 STAKE You returned 105.60 profit ??? Doing the same for the whole of 2024 would have returned you 2,346.50 profit ??? sublaunch.com/lordracingtips"
2024-07-07,13:51:00,"BBBBOOOOOMMMMM?? ??

Having a great end to #EURO2024 

Ill be honest after the England game I took the night off and just seen our level 1 bet builder in the Netherlands vs Turkey game won!

Who else was on that?!

Lets see those slips!

18+ Gambleaware | T&C's apply Ad",Tournament window,,euro2024_domain,bbbbooooommmmm having great end euro honest after england game took night off just seen level bet builder netherlands turkey game won else let see those slips gambleaware apply,BBBBOOOOOMMMMM?? ?? Having a great end to #EURO2024 Ill be honest after the England game I took the night off and just seen our level 1 bet builder in the Netherlands vs Turkey game won! Who else was on that?! Lets see those slips! 18+ Gambleaware | T&C's apply Ad
